County,Year,Tax_type,Amount
Mayo,2022,Income Taxes,320.83
Mayo,2022,Total,641.12
Meath,2022,VAT,334.13
Meath,2022,Corporation Tax,276.81
Meath,2022,Capital Gains Tax,56.22
Meath,2022,Income Taxes,647.86
Meath,2022,Total,1315.02
Monaghan,2022,VAT,94.91
Monaghan,2022,Corporation Tax,57.49
Monaghan,2022,Capital Gains Tax,13.13
Monaghan,2022,Income Taxes,135.55
Monaghan,2022,Total,301.08
Offaly,2022,VAT,85.55
Offaly,2022,Corporation Tax,52.38
Offaly,2022,Capital Gains Tax,7.27
Offaly,2022,Income Taxes,345.25
Offaly,2022,Total,490.45
Roscommon,2022,VAT,87.07
Roscommon,2022,Corporation Tax,25.76
Roscommon,2022,Capital Gains Tax,8.88
Roscommon,2022,Income Taxes,94.44
Roscommon,2022,Total,216.15
Sligo,2022,VAT,156.99
Sligo,2022,Corporation Tax,38.89
Sligo,2022,Capital Gains Tax,9.71
Sligo,2022,Income Taxes,192.68
Sligo,2022,Total,398.27000000000004
Tipperary,2022,VAT,239.31
Tipperary,2022,Corporation Tax,78.01
Tipperary,2022,Capital Gains Tax,29.65
Tipperary,2022,Income Taxes,326.95
Tipperary,2022,Total,673.92
Waterford,2022,VAT,156.59
Waterford,2022,Corporation Tax,105.1
Waterford,2022,Capital Gains Tax,27.18
Waterford,2022,Income Taxes,344.4
Waterford,2022,Total,633.27
Westmeath,2022,VAT,120.29
Westmeath,2022,Corporation Tax,83.55
Westmeath,2022,Capital Gains Tax,52
Westmeath,2022,Income Taxes,1339.3400000000001
Westmeath,2022,Total,1595.18
Wexford,2022,VAT,203.03
Wexford,2022,Corporation Tax,135.27
Wexford,2022,Capital Gains Tax,19.89
Wexford,2022,Income Taxes,330.71000000000004
Wexford,2022,Total,688.9000000000001
Wicklow,2022,VAT,243.7
Wicklow,2022,Corporation Tax,72.16
Wicklow,2022,Capital Gains Tax,64.99
Wicklow,2022,Income Taxes,366.67
Wicklow,2022,Total,747.52
Other / Foreign,2022,VAT,1191.7
Other / Foreign,2022,Corporation Tax,114.39
Other / Foreign,2022,Capital Gains Tax,89.18
Other / Foreign,2022,Income Taxes,446.34000000000003
Other / Foreign,2022,Total,1841.6100000000001
Carlow,2021,VAT,73.81
Carlow,2021,Corporation Tax,30.79
Carlow,2021,Capital Gains Tax,8.52
Carlow,2021,Income Taxes,145.09
Carlow,2021,Total,258.21
Cavan,2021,VAT,91.24
Cavan,2021,Corporation Tax,49.58
Cavan,2021,Capital Gains Tax,10.13
Cavan,2021,Income Taxes,180.29999999999998
Cavan,2021,Total,331.25
Clare,2021,VAT,121.99
Clare,2021,Corporation Tax,372.53
Clare,2021,Capital Gains Tax,19.1
Clare,2021,Income Taxes,366.14000000000004
Clare,2021,Total,879.76
Cork,2021,VAT,1421.09
Cork,2021,Corporation Tax,3695.73
Cork,2021,Capital Gains Tax,206.95
Cork,2021,Income Taxes,2277.48
Cork,2021,Total,7601.25
Donegal,2021,VAT,111.72
Donegal,2021,Corporation Tax,49.75
Donegal,2021,Capital Gains Tax,11.46
Donegal,2021,Income Taxes,224.01
Donegal,2021,Total,396.94
Dublin,2021,VAT,7861.14
Dublin,2021,Corporation Tax,9231.91
Dublin,2021,Capital Gains Tax,759.65
Dublin,2021,Income Taxes,13111.529999999999
Dublin,2021,Total,30964.23
Galway,2021,VAT,279.46
Galway,2021,Corporation Tax,219.04
Galway,2021,Capital Gains Tax,61.41
Galway,2021,Income Taxes,1018.7
Galway,2021,Total,1578.6100000000001
Kerry,2021,VAT,131.57
Kerry,2021,Corporation Tax,54.55
Kerry,2021,Capital Gains Tax,81.46
Kerry,2021,Income Taxes,735.73
Kerry,2021,Total,1003.31
Kildare,2021,VAT,406.6
Kildare,2021,Corporation Tax,131.02
Kildare,2021,Capital Gains Tax,60.23
Kildare,2021,Income Taxes,909.18
Kildare,2021,Total,1507.03
Kilkenny,2021,VAT,99.16
Kilkenny,2021,Corporation Tax,44.29
Kilkenny,2021,Capital Gains Tax,12.53
Kilkenny,2021,Income Taxes,370.33
Kilkenny,2021,Total,526.31
Laois,2021,VAT,82.73
Laois,2021,Corporation Tax,19.86
Laois,2021,Capital Gains Tax,7.54
Laois,2021,Income Taxes,98.92
Laois,2021,Total,209.05
Leitrim,2021,VAT,17.09
Leitrim,2021,Corporation Tax,9.44
Leitrim,2021,Capital Gains Tax,3.29
Leitrim,2021,Income Taxes,182.56
